Attempt ID,Started,Ended,Time
1,01 Feb 20 18:42:29,01 Feb 20 18:45:19,
2,01 Feb 20 18:46:35,01 Feb 20 19:03:34,
3,01 Feb 20 19:03:51,01 Feb 20 19:03:59,
4,01 Feb 20 19:04:10,01 Feb 20 19:04:13,
5,01 Feb 20 19:05:23,01 Feb 20 19:07:43,
6,01 Feb 20 19:09:13,01 Feb 20 19:11:36,
7,01 Feb 20 19:12:59,01 Feb 20 19:15:24,
8,01 Feb 20 19:16:59,01 Feb 20 19:36:47,
9,01 Feb 20 19:38:03,01 Feb 20 19:38:10,
10,01 Feb 20 19:39:22,01 Feb 20 19:41:45,
11,01 Feb 20 19:43:08,01 Feb 20 20:00:38,
12,01 Feb 20 20:04:49,01 Feb 20 20:07:10,
13,01 Feb 20 20:08:35,01 Feb 20 20:09:37,
14,01 Feb 20 20:10:51,01 Feb 20 20:13:11,
15,01 Feb 20 20:14:37,01 Feb 20 20:17:03,
16,01 Feb 20 20:18:25,01 Feb 20 20:33:19,
17,01 Feb 20 20:35:32,01 Feb 20 20:51:38,
18,02 Feb 20 18:03:59,02 Feb 20 18:04:59,
19,02 Feb 20 18:06:40,02 Feb 20 18:07:45,
20,02 Feb 20 18:09:25,02 Feb 20 18:17:07,
21,02 Feb 20 18:18:19,02 Feb 20 18:27:08,
22,02 Feb 20 18:28:46,02 Feb 20 18:29:42,
23,02 Feb 20 18:30:55,02 Feb 20 18:37:30,
24,02 Feb 20 18:41:17,02 Feb 20 18:42:16,
25,02 Feb 20 18:43:29,02 Feb 20 18:45:50,
26,02 Feb 20 18:48:32,02 Feb 20 18:49:29,
27,02 Feb 20 18:50:41,02 Feb 20 18:51:40,
28,02 Feb 20 18:52:59,02 Feb 20 19:02:19,
29,02 Feb 20 19:05:34,02 Feb 20 19:06:34,
30,02 Feb 20 19:07:48,02 Feb 20 19:08:46,
31,02 Feb 20 19:10:07,02 Feb 20 19:11:10,
32,02 Feb 20 19:12:23,02 Feb 20 19:13:19,
33,02 Feb 20 19:14:32,02 Feb 20 20:15:25,
34,11 Feb 20 17:58:12,11 Feb 20 18:17:58,
35,11 Feb 20 18:19:32,11 Feb 20 18:19:35,
36,11 Feb 20 18:20:22,11 Feb 20 18:37:51,
37,11 Feb 20 18:41:32,11 Feb 20 18:58:39,
38,11 Feb 20 18:59:55,11 Feb 20 19:17:39,
39,11 Feb 20 19:19:00,11 Feb 20 19:36:04,
40,11 Feb 20 19:37:19,11 Feb 20 19:46:02,
41,11 Feb 20 19:48:59,11 Feb 20 20:06:29,
42,12 Feb 20 18:56:21,12 Feb 20 19:12:37,
43,12 Feb 20 19:13:50,12 Feb 20 19:33:24,
44,12 Feb 20 19:46:29,12 Feb 20 20:05:12,
45,12 Feb 20 20:06:32,12 Feb 20 20:28:29,
46,12 Feb 20 20:29:45,12 Feb 20 22:32:45,
47,17 Feb 20 19:41:06,17 Feb 20 20:12:57,00:31:49.55
48,18 Feb 20 17:23:13,18 Feb 20 17:39:29,
49,18 Feb 20 17:40:52,18 Feb 20 17:55:33,
50,18 Feb 20 18:04:50,18 Feb 20 18:24:27,
51,18 Feb 20 18:25:40,18 Feb 20 18:42:33,
52,18 Feb 20 18:46:26,18 Feb 20 18:49:24,
53,18 Feb 20 18:50:38,18 Feb 20 19:10:32,
54,06 Mar 20 12:51:48,06 Mar 20 13:27:47,00:35:57.99
55,22 Mar 20 16:32:22,22 Mar 20 16:39:21,
56,22 Mar 20 16:42:27,22 Mar 20 16:49:55,
57,22 Mar 20 16:51:17,22 Mar 20 17:00:42,
58,22 Mar 20 17:01:42,22 Mar 20 17:13:31,
59,22 Mar 20 17:15:00,22 Mar 20 17:29:11,
60,25 Mar 20 19:26:21,25 Mar 20 19:35:08,
61,25 Mar 20 19:36:24,25 Mar 20 19:38:20,
62,25 Mar 20 19:38:39,25 Mar 20 19:39:38,
63,25 Mar 20 19:40:53,25 Mar 20 19:49:44,
64,25 Mar 20 19:50:58,25 Mar 20 19:57:02,
65,25 Mar 20 19:58:17,25 Mar 20 20:09:46,
66,29 Apr 20 21:21:56,29 Apr 20 21:51:31,00:29:33.57
67,29 Apr 20 22:46:03,29 Apr 20 22:47:14,
68,29 Apr 20 22:48:28,29 Apr 20 23:22:35,00:34:05.34
69,03 May 20 21:56:41,03 May 20 21:57:22,
70,03 May 20 21:58:49,03 May 20 22:18:47,
71,03 May 20 22:22:44,03 May 20 22:28:50,
72,03 May 20 22:30:06,03 May 20 22:58:09,00:28:01.53
73,04 May 20 22:01:31,04 May 20 22:29:37,
74,05 May 20 03:16:49,05 May 20 03:17:38,
75,05 May 20 03:19:07,05 May 20 03:22:25,
76,05 May 20 03:23:42,05 May 20 03:29:54,
77,05 May 20 03:31:24,05 May 20 03:33:50,
78,05 May 20 05:23:08,05 May 20 05:25:52,
79,05 May 20 05:27:10,05 May 20 05:56:24,00:29:11.93
80,06 May 20 21:15:11,06 May 20 21:16:18,
81,06 May 20 21:18:04,06 May 20 21:25:49,
82,06 May 20 21:27:03,06 May 20 21:43:11,
83,06 May 20 21:50:58,06 May 20 21:59:40,
84,06 May 20 22:00:55,06 May 20 22:09:55,
85,06 May 20 22:11:09,06 May 20 22:17:14,
86,06 May 20 22:18:29,06 May 20 22:21:06,
87,06 May 20 22:22:28,06 May 20 22:23:27,
88,06 May 20 22:24:40,06 May 20 22:36:24,
89,06 May 20 22:37:39,06 May 20 22:50:35,
90,06 May 20 22:51:54,06 May 20 22:54:33,
91,06 May 20 22:55:53,07 May 20 00:06:53,
92,07 May 20 20:31:46,07 May 20 20:40:14,
93,07 May 20 20:41:30,07 May 20 20:50:06,
94,07 May 20 20:52:32,07 May 20 20:54:59,
95,07 May 20 20:56:21,07 May 20 20:59:35,
96,07 May 20 21:01:54,07 May 20 21:10:23,
97,07 May 20 21:13:57,07 May 20 21:16:22,
98,07 May 20 21:17:45,07 May 20 21:20:15,
99,07 May 20 21:21:36,07 May 20 21:33:36,
100,07 May 20 21:35:14,07 May 20 21:41:28,
101,07 May 20 21:42:43,07 May 20 21:45:57,
102,07 May 20 21:47:12,07 May 20 21:47:19,
103,07 May 20 21:48:32,07 May 20 22:04:09,
104,07 May 20 22:07:48,07 May 20 22:14:26,
105,07 May 20 22:15:42,07 May 20 22:16:43,
106,07 May 20 22:19:00,07 May 20 22:20:10,
107,07 May 20 22:21:32,07 May 20 22:22:37,
108,07 May 20 22:23:49,07 May 20 22:27:17,
109,07 May 20 22:29:41,07 May 20 22:33:20,
110,07 May 20 22:35:36,07 May 20 23:02:54,00:27:16.68
111,07 May 20 23:10:35,07 May 20 23:19:16,
112,12 May 20 19:50:12,12 May 20 19:53:40,
113,12 May 20 19:55:03,12 May 20 20:04:32,
114,12 May 20 20:04:33,12 May 20 20:04:35,
115,19 May 20 16:49:08,19 May 20 16:57:52,
116,19 May 20 16:59:16,19 May 20 17:00:17,
117,19 May 20 17:01:30,19 May 20 17:02:33,
118,19 May 20 17:03:48,19 May 20 17:06:19,
119,19 May 20 17:07:36,19 May 20 17:13:44,
120,19 May 20 17:14:58,19 May 20 17:26:11,
121,19 May 20 17:27:25,19 May 20 17:29:50,
122,19 May 20 17:31:11,19 May 20 17:33:35,
123,19 May 20 17:34:56,19 May 20 17:43:25,
124,19 May 20 17:44:41,19 May 20 17:45:44,
125,19 May 20 17:46:57,19 May 20 17:49:17,
126,19 May 20 17:50:44,19 May 20 17:51:43,
127,19 May 20 17:52:56,19 May 20 17:53:56,
128,19 May 20 17:55:23,19 May 20 17:55:25,
129,19 May 20 17:56:23,19 May 20 17:57:22,
130,19 May 20 18:00:07,19 May 20 18:02:29,
131,19 May 20 18:03:59,19 May 20 18:11:34,
132,19 May 20 18:14:11,19 May 20 18:20:16,
133,19 May 20 18:21:32,19 May 20 18:23:57,
134,19 May 20 18:25:18,19 May 20 18:26:14,
135,19 May 20 18:27:27,19 May 20 18:29:50,
136,19 May 20 18:31:17,19 May 20 18:44:13,
137,19 May 20 18:46:08,19 May 20 18:55:30,
138,19 May 20 18:56:42,19 May 20 18:59:14,
139,19 May 20 19:00:40,19 May 20 19:01:51,
140,19 May 20 19:02:59,19 May 20 19:05:21,
141,19 May 20 19:07:03,19 May 20 19:09:25,
142,19 May 20 19:10:44,19 May 20 19:13:14,
143,19 May 20 19:14:34,19 May 20 19:22:57,
144,19 May 20 19:24:13,19 May 20 19:25:07,
145,19 May 20 19:26:28,19 May 20 19:32:47,
146,20 May 20 16:42:51,20 May 20 16:42:54,
147,20 May 20 16:43:51,20 May 20 16:46:33,
148,20 May 20 16:47:38,20 May 20 16:49:43,
149,20 May 20 16:50:51,20 May 20 17:07:37,
150,21 May 20 18:25:51,21 May 20 18:25:56,
151,21 May 20 18:26:51,21 May 20 18:28:08,
152,21 May 20 18:29:24,21 May 20 18:30:24,
153,21 May 20 18:31:57,21 May 20 18:38:01,
154,21 May 20 18:39:19,21 May 20 18:40:31,
155,21 May 20 18:41:50,21 May 20 18:42:57,
156,21 May 20 18:44:10,21 May 20 19:04:41,
157,21 May 20 19:06:24,21 May 20 19:07:26,
158,21 May 20 19:08:41,21 May 20 19:09:45,
159,21 May 20 19:10:57,21 May 20 19:11:56,
160,21 May 20 19:13:14,21 May 20 19:26:05,
161,21 May 20 19:27:59,21 May 20 19:31:04,
162,21 May 20 19:32:49,21 May 20 19:33:50,
163,21 May 20 19:35:03,21 May 20 19:38:11,
164,21 May 20 19:40:10,21 May 20 19:49:30,
165,21 May 20 19:51:51,21 May 20 19:54:21,
166,21 May 20 19:55:45,21 May 20 20:08:35,
167,21 May 20 20:12:09,21 May 20 20:19:49,
168,21 May 20 20:21:02,21 May 20 20:36:12,
169,21 May 20 20:41:02,21 May 20 20:41:05,
170,21 May 20 20:42:00,21 May 20 20:48:04,
171,21 May 20 20:49:20,21 May 20 20:50:19,
172,21 May 20 20:51:33,21 May 20 20:55:12,
173,21 May 20 20:57:52,21 May 20 20:58:49,
174,21 May 20 21:00:01,21 May 20 21:01:01,
175,21 May 20 21:02:14,21 May 20 21:03:12,
176,22 May 20 22:11:55,22 May 20 22:17:58,
177,22 May 20 22:19:15,22 May 20 22:21:38,
